"id","miles"
"501",13.8404953529828
"503",43.0251026520446
"508",23.6564415622848
"511",37.0899412558704
"512",14.2386474522530
"514",7.87800360358267
"523",91.314466837736
"527",12.0006239492130
"531",18.1305756822998
"534",37.1999666887589
"535",40.0099122372411
"536",73.7760247856027
"538",39.4696704555899
"539",33.1968499692006
"543",79.6141201564048
"800",7.22628218905827
"803",81.5098275412091
"804",33.7781410367038
"901",52.9979789524764
"905",73.834157514745
"906",51.6873748261231
"907",5.00373368108770
"908",60.2151559125008
"1000",94.0964110531118
"1001",143.258245052649
"1002",141.381516821394
"1003",90.2308401138883
"1004",84.0666907197653
"1005",37.239416851924
"1006",10.8603684957925
"1008",136.452419839694
"1009",103.081462283968
"1011",22.6609466548739
"1012",31.3137206154659
"1013",51.7259057178111
"1014",42.4950404763781
"1015",18.2060855049123
"1016",40.5877638825405
"1017",29.6368515852193
"1018",163.848524435396
"1019",144.159616170780
"1021",39.4749964311948
"1023",76.3176529249314
"1024",34.3710487016598
"1025",35.977532162897
"1026",110.774626944832
"1027",28.5105264223586
"1028",58.9023166150527
"1030",165.827551636207
"1031",80.946652821042
"1032",28.007989902846
"1033",34.5867516047988
"1034",67.7041857782655
"1035",119.605638626056
"1036",14.8985415200953
"1037",25.1080276245879
"1038",75.4022039509339
"1039",123.343961054163
"1040",117.910684146438
"1041",121.287157079318
"1042",153.890487158788
"1043",99.7062591326214
"1046",121.266867478267
"1047",28.7851647614635
"1049",65.8282923601595
"1050",94.4297895951723
"1052",15.4650702922404
"1053",154.952436076780
"1055",137.966499395036
"1057",112.766528739529
"1058",142.476366112649
"1059",114.082377274243
"1060",212.935347167210
"1063",21.4524423794131
"1064",89.2597124453733
"1065",140.160643333998
"1066",7.6678723592966
"1067",5.98004838976932
"1069",129.697793697947
"1071",107.013586093787
"1073",8.19613652977963
"1076",19.1895515825012
"1077",96.3187940186495
"1079",32.2287145482299
"1080",59.585212740319
"1081",96.5166679691873
"1082",36.799584034743
"1083",105.346650073780
"1085",13.8897085906034
"1086",101.598822534751
"1087",3.9010114622331
"1088",126.756405199395
"1089",150.161430675226
"1090",24.5770823782927
"1091",149.971934845106
"1092",21.1712698117326
"1093",8.65065705823296
"1095",29.0216416490465
"1096",13.6215872559446
"1097",21.0946330567901
"1100",23.6394908389587
"1102",11.9835355313364
"1103",19.8390049557110
"1104",164.605633377291
"1105",22.3840402546682
"1106",121.235416338067
"1107",26.6626747961315
"1108",13.2925877170146
"1109",54.9218147887955
"1110",125.321626895635
"1112",29.6063799217040
"1113",15.7500308339888
"1114",8.65348903100198
"1115",161.383519611366
"1116",147.381784787252
"1117",16.3067439361835
"1118",102.171820747738
"1119",97.7517686687672
"1120",145.814710960987
"1121",131.810360992932
"1122",146.386515309382
"1123",10.1470327440115
"1124",12.6885557818345
"1125",54.3958892928991
"1126",19.2337978585238
"1127",54.6277643480155
"1128",41.4790893371342
"1129",40.0984867317801
"1130",190.051936096513
"1131",165.050155658541
"1132",73.6305496752636
"1133",146.555120951811
"1134",141.335034348707
"1136",14.9851273743213
"1138",135.834099951449
"1139",15.4413490983453
"1142",4.13367265481544
"1143",101.159673450495
"1144",17.9449876452618
"1146",14.9353151282601
"1147",198.427665936517
"1148",216.267439340534
"1149",15.7318383239376
"1153",185.846695138558
"1154",19.0511603873079
"1156",131.554567199280
"1157",20.4127841127621
"1158",45.3670951017041
"1159",13.0981047689861
"1160",49.1596350011703
"1161",105.798483902942
"1162",126.5454278463
"1163",14.7811720798192
"1166",9.42138607435563
"1167",36.3109500199744
"1168",92.8327193128407
"1169",108.987079171987
"1170",18.3482794784983
"1171",177.37010617166
"1172",7.46205519486847
"1173",104.760555499013
"1176",129.674000615851
"1177",125.166501223814
"1181",122.961568939129
"1183",18.492401492961
"1184",131.142567607253
"1185",36.7000152614504
"1186",23.8127252788279
"1187",34.8454396008893
"1188",163.643343409291
"1190",92.3385455567598
"1192",132.119215247884
"1193",85.4741464900052
"1194",205.665254951796
"1195",36.0510640938722
"1196",71.2148455235558
"1197",32.1242163830004
"1198",18.3529129869992
"1199",116.383396024016
"1202",102.031753953089
"1203",137.185647954463
"1205",142.784053574768
"1206",192.09724680891
"1209",13.7370756920638
"1210",12.658100055671
"1212",46.1617518630047
"1213",17.2123460071592
"1214",66.6038102505055
"1215",3.04972708144389
"1216",110.643125486647
"1217",184.350950350481
"1218",204.160725747948
"1219",25.1076669245948
"1220",70.738247272126
"1221",134.602503969270
"1222",133.824750317571
"1223",22.0909359075847
"1225",34.1475441387085
"1227",78.0992746088563
"1228",19.1210600307768
"1229",164.353492874171
"1230",49.4717669937057
"1231",137.362706044152
"1232",163.288396577806
"1233",38.0638856277939
"1234",153.043953899626
"1235",19.1449875729888
"1236",191.468380080595
"1238",192.028869180416
"1239",136.338191445312
"1240",133.818579526088
"1241",62.5335046534221
"1242",107.049323537314
"1243",127.183747644907
"1244",89.2678406094727
"1246",31.9139631726923
"1247",7.6419583935393
"1248",22.3289783800302
"1249",15.1492832028848
"1252",47.1123257721972
"1253",101.329441758018
"1254",11.3289337755408
"1257",18.9912535245831
"1259",176.312754743242
"1260",59.3490154394234
"1261",185.748366589620
"1262",96.2495311243536
"1263",25.5846813333363
"1264",160.349462808823
"1267",23.4210274100151
"1269",141.434805145037
"1271",178.420234167727
"1274",24.9401913247066
"1275",22.1461411685836
"1277",18.2932684916711
"1278",100.879960947003
"1279",2.89398456754632
"1280",59.2451175878497
"1281",143.069523017639
"1282",34.1087355087358
"1283",50.6343763161206
"1284",22.9054107241847
